ID,Name,Concepticon_ID,Concepticon_Gloss,GBIF_ID,GBIF_NAME,canonicalName,rank,kingdom,kingdomKey,phylum,phylumKey,class_,classKey,order,orderKey,family,familyKey,genus,genusKey
camponotussericeus,Camponotus sericeus,,,5034753,"Camponotus sericeus (Fabricius, 1798)",Camponotus sericeus,SPECIES,Animalia,1,Arthropoda,54,Insecta,216,Hymenoptera,1457,Formicidae,4342,Camponotus,1312361
canavaliaafricana,Canavalia africana,,,2962182,Canavalia africana Dunn,Canavalia africana,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Canavalia,8285917
canavalia,Canavalia,,,8285917,Canavalia DC.,Canavalia,GENUS,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Canavalia,8285917
canavaliaensiformis,Canavalia ensiformis,,,7799711,Canavalia ensiformis (L.) DC.,Canavalia ensiformis,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Fabales,1370,Fabaceae,5386,Canavalia,8285917
canisadustusadustus,Canis adustus adustus,,,7193870,Canis adustus adustus,Canis adustus adustus,SUBSPECIES,Animalia,1,Chordata,44,Mammalia,359,Carnivora,732,Canidae,9701,Canis,5219142
canisaureus,Canis aureus,,,5219219,"Canis aureus Linnaeus, 1758",Canis aureus,SPECIES,Animalia,1,Chordata,44,Mammalia,359,Carnivora,732,Canidae,9701,Canis,5219142
canislupusfamiliaris,Canis lupus familiaris,,,6164210,"Canis lupus familiaris Linnaeus, 1758",Canis lupus familiaris,SUBSPECIES,Animalia,1,Chordata,44,Mammalia,359,Carnivora,732,Canidae,9701,Canis,5219142
capparissepiaria,Capparis sepiaria,,,7273413,Capparis sepiaria L.,Capparis sepiaria,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Capparaceae,3111,Capparis,3054191
capparistomentosa,Capparis tomentosa,,,5602023,Capparis tomentosa Lam.,Capparis tomentosa,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Brassicales,7225535,Capparaceae,3111,Capparis,3054191
caprimulguseximius,Caprimulgus eximius,,,2496949,"Caprimulgus eximius Temminck, 1826",Caprimulgus eximius,SPECIES,Animalia,1,Chordata,44,Aves,212,Caprimulgiformes,8510645,Caprimulgidae,5225,Caprimulgus,2496826
caprimulgustristigma,Caprimulgus tristigma,,,2496926,"Caprimulgus tristigma Ruppell, 1840",Caprimulgus tristigma,SPECIES,Animalia,1,Chordata,44,Aves,212,Caprimulgiformes,8510645,Caprimulgidae,5225,Caprimulgus,2496826
capsicum,Capsicum,,,2932937,Capsicum L.,Capsicum,GENUS,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Solanales,1176,Solanaceae,7717,Capsicum,2932937
capsicumfrutescens,Capsicum frutescens,,,8403992,Capsicum frutescens L.,Capsicum frutescens,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Solanales,1176,Solanaceae,7717,Capsicum,2932937
caracalcaracal,Caracal caracal,,,2435010,"Caracal caracal (Schreber, 1776)",Caracal caracal,SPECIES,Animalia,1,Chordata,44,Mammalia,359,Carnivora,732,Felidae,9703,Caracal,2435009
carallumaacutangula,Caralluma acutangula,,,3578737,Caralluma acutangula (Decne.) N.E.Br.,Caralluma acutangula,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Gentianales,412,Apocynaceae,6701,Ceropegia,7150518
carallumaadscendens,Caralluma adscendens,,,8081628,Caralluma adscendens R.Br.,Caralluma adscendens,SPECIES,Plantae,6,Tracheophyta,7707728,Magnoliopsida,220,Gentianales,412,Apocynaceae,6701,Caralluma,3572533
